Date/Time,Air Quality Index,Carbon Monoxide,Methane,Nitric Oxide,Nitrogen Dioxide,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Sulphur Dioxide,Wind Direction
2015-04-25 00:00:00,2.4821,0.158333333,1.8625,0.0042,0.006333333,4.194466667,0.029833333,7.3333,4.4865,49.8333,0.0013,89.4583
2015-04-26 00:00:00,2.6015,0.193066667,1.87915,0.0026,0.009033333,5.6389,0.030166667,7.6957,6.530566667,51.9583,0.0009,175.7292
2015-04-27 00:00:00,2.718066667,0.200033333,1.86875,0.005166667,0.010833333,12.94583333,0.030633333,12.5,7.905566667,38.375,0.00155,188.54165
2015-04-28 00:00:00,2.726533333,0.2097,1.8396,0.004733333,0.013233333,17.69163333,0.028533333,35.1905,10.52776667,31.9167,0.0005,184.33335
2015-04-29 00:00:00,2.8953,0.1871,1.79565,0.0019,0.006533333,11.36666667,0.0381,12.3043,7.16665,41.25,0.0014,286.8333
2015-04-30 00:00:00,2.661833333,0.215266667,1.81665,0.003066667,0.009233333,10.525,0.0317,12.7727,6.125,45.875,0.0011,254.7292
2015-05-01 00:00:00,2.9112,0.231966667,1.8,0.0074,0.009233333,10.94583333,0.035833333,20.0833,5.333933333,44.0833,0.0012,184.79165
2015-05-02 00:00:00,2.846533333,0.2111,1.78125,0.001833333,0.004033333,8.0903,0.037166667,10.9167,3.887066667,56.5833,0.0006,279.75
2015-05-03 00:00:00,2.543733333,0.162466667,1.8229,0.004066667,0.0052,8.115266667,0.030433333,6.1364,4.6272,60.5,0.00095,196.77085
2015-05-04 00:00:00,2.715933333,0.166633333,1.86875,0.005366667,0.007166667,12.16943333,0.033566667,17.7917,6.541666667,44.8333,0.0005,91.04165
2015-05-05 00:00:00,2.5093,0.145833333,1.80625,0.004333333,0.0053,10.30973333,0.0298,20.7083,7.5972,54.875,0.00055,127.6875
2015-05-06 00:00:00,2.4034,0.1389,1.7979,0.002933333,0.005033333,1.651366667,0.028066667,5.25,4.476833333,89.6667,0.0005,318.5
2015-05-07 00:00:00,2.5503,0.208333333,1.84585,0.0162,0.01215,6.141666667,0.0248,15.9524,11.625,61.2083,0.0009,180.4167
2015-05-08 00:00:00,2.795,0.1889,1.86875,0.0102,0.010233333,9.268033333,0.0281,14.6522,11.86175,51.9167,0.00095,190.89585
2015-05-09 00:00:00,2.748366667,0.129166667,1.82915,0.005533333,0.005466667,12.4625,0.034633333,11.375,7.777766667,41.0833,0.0007,162.95835
2015-05-10 00:00:00,2.9421,0.116666667,1.83335,0.0024,0.004266667,12.0639,0.039066667,12.625,5.3565,37.2083,0.0006,109.60415
2015-05-11 00:00:00,2.8812,0.145866667,1.80835,0.004433333,0.006433333,12,0.037866667,20.5417,5.730366667,29.4167,0.00055,158.8125
2015-05-12 00:00:00,2.936066667,0.150266667,1.8375,0.006233333,0.0081,13.64583333,0.037666667,28.5833,7.319433333,27.2083,0.0005,152.2708
2015-05-13 00:00:00,3.033566667,0.147233333,1.79165,0.002966667,0.0059,13.71806667,0.040666667,34.3043,9.3261,29.5833,0.0006,137.3125
2015-05-14 00:00:00,3.001266667,0.169433333,1.8125,0.003233333,0.006,14.175,0.039866667,29.0417,8.180566667,35.875,0.00065,146.375
2015-05-15 00:00:00,2.655766667,0.200033333,1.7875,0.003333333,0.006166667,15.11943333,0.032633333,27.7083,10.25906667,50.625,0.00055,145.20835
2015-05-16 00:00:00,2.650633333,0.169433333,1.86045,0.005133333,0.0049,11.15136667,0.0306,13.2917,8.4522,51.625,0.002,64.125
2015-05-17 00:00:00,2.578966667,0.140266667,1.82085,0.002366667,0.0043,9.362533333,0.031833333,7.8571,4.7923,39.7917,0.0005,115.5
2015-05-18 00:00:00,3.107766667,0.1375,1.80835,0.001266667,0.004,13.6125,0.0425,12.7083,4.1722,22.4583,0.00065,145.875
2015-05-19 00:00:00,3.0836,0.1625,1.80415,0.0034,0.005866667,16.45276667,0.0417,16.9583,6.4702,20.5417,0.00065,154.10415
2015-05-20 00:00:00,3.070233333,0.175,1.7854,0.003033333,0.005333333,18.61663333,0.041633333,17.875,6.118366667,20.5,0.00055,150.3542
2015-05-21 00:00:00,3.180533333,0.166666667,1.7771,0.002466667,0.003933333,20.1917,0.042566667,22.0417,7.333333333,21.0833,0.0005,146.22915
2015-05-22 00:00:00,3.492533333,0.175,1.8604,0.007233333,0.0102,21.8486,0.038133333,33.6667,14.41996667,22.4167,0.0013,161.5
2015-05-23 00:00:00,3.749833333,0.22295,2.00415,0.01,0.012966667,22.60833333,0.036566667,40.625,21.40983333,29.7083,0.0032,124.5833
2015-05-24 00:00:00,3.590933333,0.1104,1.8875,0.002366667,0.004166667,22.88056667,0.0443,27.1667,12.13003333,26.0417,0.0005,155.8958
2015-05-25 00:00:00,3.307833333,0.1521,1.8471,0.0072,0.008766667,22.7986,0.037133333,37.2917,13.0371,27.5833,0.0009,206.75
2015-05-26 00:00:00,2.983766667,0.191666667,1.88335,0.007066667,0.009066667,22.28053333,0.023866667,37.0833,17.89166667,38.4583,0.0021,149.8958
2015-05-27 00:00:00,3.525233333,0.202766667,1.84375,0.007233333,0.006766667,21.3831,0.033766667,28.9167,20.6124,49.7917,0.0018,178.6875
2015-05-28 00:00:00,2.567933333,0.122833333,1.9,0.0033,0.0037,12.38886667,0.032366667,13.6667,6.916166667,45.625,0.00175,35.29165
2015-05-29 00:00:00,2.825833333,0.122233333,1.9,0.0019,0.004733333,12.86806667,0.036833333,13.7917,5.670633333,39.2083,0.00065,123.125
2015-05-30 00:00:00,2.753333333,0.116666667,1.9,0.0013,0.0035,15.0875,0.035266667,15.75,5.801733333,40.9167,0.0006,120.9583
